VMSD - VHCK Moonsec Dumper
fors, all_fors, values, all_values, time, all_time
709 709 3333 3333 1.2299545999994734 1.2299545999994734
726 1435 3333 6666 0.45290969999769004 1.955044700000144
728 2163 3333 9999 0.44485229999554576 2.5106130999993184
726 2889 3333 13332 0.436022400004731 3.052876900001138
259 3148 1096 14428 0.28090330000122776 3.452030000000377
14 3162 20 14448 1.1612597999992431 4.681078900001012
739 3901 3333 17781 1.1779308000041055 6.270677100001194
733 4634 3333 21114 0.4383460999961244 6.9819522999969195
742 5376 3333 24447 0.4556888999941293 7.543544499996642
740 6116 3333 27780 0.45243650000338675 8.108926299995801
738 6854 3333 31113 0.46462220000103116 8.684284599999955
741 7595 3333 34446 0.49125549999735085 9.288407499996538
747 8342 3333 37779 0.47286909999820637 9.88850960000127
746 9088 3333 41112 0.45719329999701586 10.46200189999945
727 9815 3333 44445 0.4314248000009684 11.006321399996523
760 10575 3333 47778 0.4491444000013871 11.572256299994478
770 11345 3333 51111 0.4727377999952296 12.155354399998032
789 12134 3333 54444 0.4559861000016099 12.726429599999392
773 12907 3333 57777 0.4614530000035302 13.314815699995961
776 13683 3333 61110 0.4839579999970738 13.918883699996513
765 14448 3333 64443 0.47924870000133524 14.522734599995601
765 15213 3333 67776 0.4707840999981272 15.116545400000177
722 15935 3333 71109 0.49533320000045933 15.734642899995379
751 16686 3333 74442 0.498080100005609 23.287528099994233
763 17449 3333 77775 0.523372700001346 23.9343860999943
779 22933 3333 101106 0.5313704000000143 28.35978989999421
754 23687 3333 104439 0.4933630999948946 29.247500799996487
765 24452 3333 107772 0.4841238999943016 29.85107849999622
776 25228 3333 111105 0.4807354000004125 30.45087419999618
761 25989 3333 114438 0.4864164999962668 31.060285799998383
775 26764 3333 117771 0.4762214000002132 31.66014449999784
767 27531 3333 121104 0.4808809000023757 32.27644280000095
765 28296 3333 124437 0.5130778000020655 32.91292419999809
