VMSD - VHCK Moonsec Dumper
fors, all_fors, values, all_values, time, all_time
437 437 3333 3333 0.6359474999990198 0.6359477000005427
10 447 2404 5737 0.3895771999959834 1.1762138999984018
5 452 150 5887 0.10720169999694917 1.375442299999122
7 459 194 6081 0.0012190999987069517 1.4175359000000753
969 1428 3333 9414 0.18368649999320041 1.6214190999962739
834 2262 3333 12747 0.08811810000042897 1.7626416999992216
965 3227 3333 16080 0.04374519999691984 1.838131999997131
885 4112 3333 19413 0.04994959999748971 1.9129190999956336
884 4996 3333 22746 0.044569900004717056 1.9847814999957336
854 5850 3333 26079 0.0542801000046893 2.0698484999957145
906 6756 3333 29412 0.047055000002728775 2.1534180999951786
952 7708 3333 32745 0.04247120000218274 2.228156199998921
882 8590 3333 36078 0.046668299997691065 2.2974844999989728
832 9422 3333 39411 0.04765839999890886 2.385166499996558
939 10361 3333 42744 0.04576470000029076 2.465125299997453
963 11324 3333 46077 0.04463910000049509 2.541234699994675
914 12238 3333 49410 0.04383360000065295 2.613510799994401
840 13078 3333 52743 0.04761000000144122 2.687501299995347
934 14012 3333 56076 0.04829050000262214 2.7657599999947706
926 14938 3333 59409 0.04842330000246875 2.8456884999977774
868 15806 3333 62742 0.04728430000250228 2.9224705999949947
878 16684 3333 66075 0.04686100000253646 2.9976486999948975
941 17625 3333 69408 0.04319930000201566 3.070021999999881
943 18568 3333 72741 0.04349699999875156 3.1432065999979386
956 19524 3333 76074 0.04210579999926267 3.206915199996729
301 19825 3333 79407 0.04026020000310382 3.2722766999941086
426 20251 3333 82740 0.044538300004205666 3.3444314999942435
417 20668 3333 86073 0.04113589999906253 3.412600299998303
145 20813 3333 89406 0.03042500000447035 3.465547499996319
476 21289 3333 92739 0.050156900004367344 3.5376064000010956
473 21762 3333 96072 0.048209399996267166 3.6154558999987785
470 22232 3333 99405 0.04798940000182483 3.691853299998911
430 22662 3333 102738 0.04286569999385392 3.765229899996484
454 23116 3333 106071 0.044590099998458754 3.8309883999972953
472 23588 3333 109404 0.046881499998562504 3.913499899994349
440 24028 3333 112737 0.04281300000002375 3.987458699994022
417 24445 3333 116070 0.044589799996174406 4.058316199996625
370 24815 3333 119403 0.04565970000112429 4.130064500001026
463 25278 3333 122736 0.048595800006296486 4.207023999995727
286 25564 3333 126069 0.034292899996216875 4.26695479999762
382 25946 3333 129402 0.04237899999861838 4.336882499999774
452 26398 3333 132735 0.043716499996662606 4.413271799996437
458 26856 3333 136068 0.0439260999992257 4.490687599994999
459 27315 3333 139401 0.045484700000088196 4.570484399999259
436 27751 3333 142734 0.042250099999364465 4.655471599995508
391 28142 3333 146067 0.03707260000373935 4.7207845999946585
364 28506 3333 149400 0.039571599998453166 4.788248899996688
425 28931 3333 152733 0.04234530000394443 4.855693699995754
303 29234 3333 156066 0.033876299996336456 4.9133150999987265
266 29500 3333 159399 0.04149849999521393 4.978098699997645
474 29974 3333 162732 0.05236109999532346 5.064793799996551
472 30446 3333 166065 0.048295700005837716 5.149112499995681
458 30904 3333 169398 0.04957280000235187 5.2416630999941844
440 31344 3333 172731 0.048291799997969065 5.3291915000008885
456 31800 3333 176064 0.045872099995904136 5.410695599995961
473 32273 3333 179397 0.05153060000156984 5.49740689999453
403 32676 3333 182730 0.04038619999482762 5.572386599997117
364 33040 3333 186063 0.039700899993476924 5.644524099996488
457 33497 3333 189396 0.04586079999717185 5.723291499998595
463 33960 3333 192729 0.047348000000056345 5.79981509999925
206 34166 3333 196062 0.032792799996968824 5.870332699996652
461 34627 3333 199395 0.044483500001661014 5.939722700000857
451 35078 3333 202728 0.04495370000222465 6.0133136000004015
459 35537 3333 206061 0.04783370000222931 6.086194399998931
460 35997 3333 209394 0.04676350000227103 6.161051899995073
435 36432 3333 212727 0.05329840000194963 6.240819099999499
573 37005 3333 216060 0.04698050000297371 6.315937299994403
