VMSD - VHCK Moonsec Dumper
fors, all_fors, values, all_values, time, all_time
739 739 3333 3333 1.3923475999981747 1.3923476000018127
733 1472 3333 6666 0.06126380000205245 1.7552071999998589
742 2214 3333 9999 0.07459880000169505 1.8582564999996976
740 2954 3333 13332 0.072934300002089 1.9811530000006314
738 3692 3333 16665 0.07194600000002538 2.0908940000008442
741 4433 3333 19998 0.06588829999964219 2.188969200000429
747 5180 3333 23331 0.07102999999915482 2.298242600001686
746 5926 3333 26664 0.06729429999904823 2.3971259000027203
727 6653 3333 29997 0.06743070000084117 2.4952735000006214
765 7418 3333 33330 0.05752030000076047 2.593419200002245
780 8198 3333 36663 0.05393970000295667 2.6836689000010665
772 8970 3333 39996 0.04809640000166837 2.7593056000005163
772 9742 3333 43329 0.05310020000251825 2.8444589999999152
791 10533 3333 46662 0.05140720000053989 2.9265383000019938
761 11294 3333 49995 0.0498001000014483 3.0051908000023104
785 12079 3333 53328 0.05024570000023232 3.0850451000005705
730 12809 3333 56661 0.05245880000074976 3.1858352000017476
743 13552 3333 59994 0.053321600000344915 3.2766609999998764
748 14300 3333 63327 0.05271519999951124 3.3576353000025847
750 15050 3333 66660 0.047493100002611754 3.434889000000112
771 15821 3333 69993 0.0529184000006353 3.5160507000000507
779 16600 3333 73326 0.04985880000094767 3.5972508000013477
787 17387 3333 76659 0.05220819999885862 3.6799463000024843
775 18162 3333 79992 0.052622700000938494 3.7619556000026932
775 18937 3333 83325 0.05421730000307434 3.8461734000011347
799 19736 3333 86658 0.05088659999819356 3.9248001000014483
783 20519 3333 89991 0.049082900000939844 4.005884300000616
782 21301 3333 93324 0.051335100000869716 4.102052599999297
769 22070 3333 96657 0.05222270000012941 4.196950900000957
756 22826 3333 99990 0.05889039999965462 4.284822199999326
784 23610 3333 103323 0.05289300000004005 4.372612200000731
764 24374 3333 106656 0.05795339999895077 4.471756599999935
788 25162 3333 109989 0.047676800000772346 4.552694300000439
764 25926 3333 113322 0.04857140000240179 4.626503100000264
756 26682 3333 116655 0.05049489999873913 4.718107700002292
760 27442 3333 119988 0.051741300001594936 4.800063300001057
220 27662 3333 123321 0.15948419999767793 4.984954200001084
12 27674 1706 125027 0.3850144000025466 5.43463519999932
437 28111 3333 128360 0.20362180000302033 5.729694600002404
10 28121 2998 131358 14.473374400000466 20.265583600001264
