VMSD - VHCK Moonsec Dumper
fors, all_fors, values, all_values, time, all_time
2 2 5 5 1.7327999000044656 1.732799999997951
2 4 9 14 0.8747924999988754 5.719135799998185
326 330 3333 3347 3.811530999999377 12.548511400003918
8 338 3333 6680 0.11001119999855291 15.82252249999874
3 341 3333 10013 0.3128660000002128 19.149767800001428
0 341 3333 13346 0.21050820000527892 22.475897399999667
3 344 3333 16679 0.16208140000526328 25.762578400004713
3 347 3333 20012 0.34459829999832436 29.11995420000312
3 350 3333 26678 0.2700373000043328 35.62998859999789
0 350 3333 30011 0.238772800003062 39.19943150000472
3 353 3333 33344 0.14291729999968084 42.46264109999902
3 356 3333 36677 0.33731779999652645 45.91985240000213
0 356 3333 40010 0.12736739999672864 49.05970370000432
0 359 3333 46676 0.2962132000029669 55.91974499999924
3 362 3333 50009 0.138514700003725 59.43750240000372
3 365 3333 53342 0.3377561000015703 63.10606589999952
0 365 3333 56675 0.16857119999622228 66.28934570000274
3 368 3333 60008 0.21030799999425653 69.82824919999985
0 368 3333 63341 0.31843020000087563 73.48129160000099
3 371 3333 66674 0.08852160000242293 76.58776999999827
3 374 3333 70007 0.39399240000057034 80.31836370000383
0 374 3333 73340 0.1819275000016205 83.67150499999843
